split,sample_id,image,class_id,class_name,probability,component_rank,heatmap_threshold,bbox_xywh,yolo_bbox,yolo_x_center,yolo_y_center,yolo_width,yolo_height,x,y,width,height,area,centroid_x,centroid_y
train,infiltrat/CXR009_003.jpg,CXR009_003.jpg,0,infiltrat,0.620974,2,0.5000,"172,163,52,61",0 0.883929 0.863839 0.232143 0.272321,0.883929,0.863839,0.232143,0.272321,172,163,52,61,2233,203.3045,198.4523
train,infiltrat/CXR010_001.jpg,CXR010_001.jpg,0,infiltrat,0.580384,1,0.5000,"162,28,62,100",0 0.861607 0.348214 0.276786 0.446429,0.861607,0.348214,0.276786,0.446429,162,28,62,100,5453,194.993,78.3627
train,infiltrat/CXR010_002.jpg,CXR010_002.jpg,0,infiltrat,0.560516,1,0.5000,"176,53,48,98",0 0.892857 0.455357 0.214286 0.437500,0.892857,0.455357,0.214286,0.437500,176,53,48,98,3486,204.679,103.1822
train,infiltrat/CXR010_003.jpg,CXR010_003.jpg,0,infiltrat,0.598727,1,0.5000,"0,136,224,88",0 0.500000 0.803571 1.000000 0.392857,0.500000,0.803571,1.000000,0.392857,0,136,224,88,10799,85.5031,194.1597
train,infiltrat/CXR010_003.jpg,CXR010_003.jpg,0,infiltrat,0.598727,2,0.5000,"0,0,59,33",0 0.131696 0.073661 0.263393 0.147321,0.131696,0.073661,0.263393,0.147321,0,0,59,33,1705,26.7296,14.2534
train,infiltrat/CXR011_002.jpg,CXR011_002.jpg,0,infiltrat,0.630187,1,0.5000,"0,109,224,115",0 0.500000 0.743304 1.000000 0.513393,0.500000,0.743304,1.000000,0.513393,0,109,224,115,14362,87.8624,182.9975
train,infiltrat/CXR012_001.jpg,CXR012_001.jpg,0,infiltrat,0.615594,1,0.5000,"20,62,102,100",0 0.316964 0.500000 0.455357 0.446429,0.316964,0.500000,0.455357,0.446429,20,62,102,100,7346,68.1413,115.3598
train,infiltrat/CXR012_001.jpg,CXR012_001.jpg,0,infiltrat,0.615594,2,0.5000,"166,104,15,24",0 0.774554 0.517857 0.066964 0.107143,0.774554,0.517857,0.066964,0.107143,166,104,15,24,198,173.8434,114.1768
train,infiltrat/CXR012_002.jpg,CXR012_002.jpg,0,infiltrat,0.603549,1,0.5000,"117,35,107,77",0 0.761161 0.328125 0.477679 0.343750,0.761161,0.328125,0.477679,0.343750,117,35,107,77,6095,176.3043,75.4609
train,infiltrat/CXR012_002.jpg,CXR012_002.jpg,0,infiltrat,0.603549,2,0.5000,"32,70,80,89",0 0.321429 0.511161 0.357143 0.397321,0.321429,0.511161,0.357143,0.397321,32,70,80,89,5074,69.8471,113.1362
train,infiltrat/CXR012_003.jpg,CXR012_003.jpg,0,infiltrat,0.652532,1,0.5000,"123,0,101,111",0 0.774554 0.247768 0.450893 0.495536,0.774554,0.247768,0.450893,0.495536,123,0,101,111,8284,180.1894,58.8662
train,infiltrat/CXR012_003.jpg,CXR012_003.jpg,0,infiltrat,0.652532,2,0.5000,"23,63,79,86",0 0.279018 0.473214 0.352679 0.383929,0.279018,0.473214,0.352679,0.383929,23,63,79,86,5106,61.5879,102.0311
train,infiltrat/CXR013_001.jpg,CXR013_001.jpg,0,infiltrat,0.696271,1,0.5000,"0,59,95,94",0 0.212054 0.473214 0.424107 0.419643,0.212054,0.473214,0.424107,0.419643,0,59,95,94,7175,46.916,104.8334
train,infiltrat/CXR013_002.jpg,CXR013_002.jpg,0,infiltrat,0.715614,1,0.5000,"16,58,99,98",0 0.292411 0.477679 0.441964 0.437500,0.292411,0.477679,0.441964,0.437500,16,58,99,98,7703,65.7182,106.4487
train,infiltrat/CXR013_003.jpg,CXR013_003.jpg,0,infiltrat,0.726294,1,0.5000,"23,54,99,101",0 0.323661 0.466518 0.441964 0.450893,0.323661,0.466518,0.441964,0.450893,23,54,99,101,7648,70.2968,104.9236
train,infiltrat/CXR014_001.jpg,CXR014_001.jpg,0,infiltrat,0.640840,1,0.5000,"134,0,90,50",0 0.799107 0.111607 0.401786 0.223214,0.799107,0.111607,0.401786,0.223214,134,0,90,50,3386,185.2643,19.6273
train,infiltrat/CXR014_001.jpg,CXR014_001.jpg,0,infiltrat,0.640840,2,0.5000,"0,0,44,63",0 0.098214 0.140625 0.196429 0.281250,0.098214,0.140625,0.196429,0.281250,0,0,44,63,1997,16.4807,26.3425
train,infiltrat/CXR014_002.jpg,CXR014_002.jpg,0,infiltrat,0.636148,1,0.5000,"0,134,224,90",0 0.500000 0.799107 1.000000 0.401786,0.500000,0.799107,1.000000,0.401786,0,134,224,90,11174,80.9948,191.5554
train,infiltrat/CXR014_002.jpg,CXR014_002.jpg,0,infiltrat,0.636148,2,0.5000,"174,0,50,29",0 0.888393 0.064732 0.223214 0.129464,0.888393,0.064732,0.223214,0.129464,174,0,50,29,1284,200.4564,12.6114
train,infiltrat/CXR014_003.jpg,CXR014_003.jpg,0,infiltrat,0.634962,1,0.5000,"0,127,101,65",0 0.225446 0.712054 0.450893 0.290179,0.225446,0.712054,0.450893,0.290179,0,127,101,65,3890,58.5542,161.8861
train,infiltrat/CXR014_003.jpg,CXR014_003.jpg,0,infiltrat,0.634962,2,0.5000,"123,203,64,21",0 0.691964 0.953125 0.285714 0.093750,0.691964,0.953125,0.285714,0.093750,123,203,64,21,1258,154.9952,213.6161
train,infiltrat/CXR015_001.jpg,CXR015_001.jpg,0,infiltrat,0.611006,1,0.5000,"0,42,114,96",0 0.254464 0.401786 0.508929 0.428571,0.254464,0.401786,0.508929,0.428571,0,42,114,96,8611,57.184,91.8128
train,infiltrat/CXR015_002.jpg,CXR015_002.jpg,0,infiltrat,0.622688,1,0.5000,"0,38,97,107",0 0.216518 0.408482 0.433036 0.477679,0.216518,0.408482,0.433036,0.477679,0,38,97,107,9077,45.9584,88.6741
train,infiltrat/CXR015_002.jpg,CXR015_002.jpg,0,infiltrat,0.622688,2,0.5000,"140,32,84,71",0 0.812500 0.301339 0.375000 0.316964,0.812500,0.301339,0.375000,0.316964,140,32,84,71,5205,185.4548,66.8511
train,infiltrat/CXR015_003.jpg,CXR015_003.jpg,0,infiltrat,0.652543,1,0.5000,"0,42,100,103",0 0.223214 0.417411 0.446429 0.459821,0.223214,0.417411,0.446429,0.459821,0,42,100,103,8502,49.2583,92.8539
train,infiltrat/CXR016_002.jpg,CXR016_002.jpg,0,infiltrat,0.730156,1,0.5000,"22,22,202,118",0 0.549107 0.361607 0.901786 0.526786,0.549107,0.361607,0.901786,0.526786,22,22,202,118,12949,122.4565,81.3016
train,infiltrat/CXR016_003.jpg,CXR016_003.jpg,0,infiltrat,0.556166,1,0.5000,"18,0,144,113",0 0.401786 0.252232 0.642857 0.504464,0.401786,0.252232,0.642857,0.504464,18,0,144,113,10849,86.391,55.2777
train,infiltrat/CXR016_003.jpg,CXR016_003.jpg,0,infiltrat,0.556166,2,0.5000,"180,0,44,40",0 0.901786 0.089286 0.196429 0.178571,0.901786,0.089286,0.196429,0.178571,180,0,44,40,1383,204.8228,16.3818
train,infiltrat/CXR016_004.jpg,CXR016_004.jpg,0,infiltrat,0.605397,1,0.5000,"122,28,102,98",0 0.772321 0.343750 0.455357 0.437500,0.772321,0.343750,0.455357,0.437500,122,28,102,98,8903,172.2781,77.1808
train,infiltrat/CXR016_004.jpg,CXR016_004.jpg,0,infiltrat,0.605397,2,0.5000,"45,110,15,3",0 0.234375 0.497768 0.066964 0.013393,0.234375,0.497768,0.066964,0.013393,45,110,15,3,34,51.3529,111.2647
train,infiltrat/CXR017_002.jpg,CXR017_002.jpg,0,infiltrat,0.800565,1,0.5000,"0,50,149,118",0 0.332589 0.486607 0.665179 0.526786,0.332589,0.486607,0.665179,0.526786,0,50,149,118,11732,75.427,110.5546
train,infiltrat/CXR017_003.jpg,CXR017_003.jpg,0,infiltrat,0.667519,1,0.5000,"94,23,130,99",0 0.709821 0.323661 0.580357 0.441964,0.709821,0.323661,0.580357,0.441964,94,23,130,99,10537,157.7634,72.8349
train,infiltrat/CXR017_004.jpg,CXR017_004.jpg,0,infiltrat,0.753884,1,0.5000,"20,47,103,103",0 0.319196 0.439732 0.459821 0.459821,0.319196,0.439732,0.459821,0.459821,20,47,103,103,8109,69.285,97.8447
train,infiltrat/CXR018_001.jpg,CXR018_001.jpg,0,infiltrat,0.620023,1,0.5000,"0,53,125,99",0 0.279018 0.457589 0.558036 0.441964,0.279018,0.457589,0.558036,0.441964,0,53,125,99,8115,60.5089,103.8446
train,infiltrat/CXR018_002.jpg,CXR018_002.jpg,0,infiltrat,0.627724,1,0.5000,"0,25,92,134",0 0.205357 0.410714 0.410714 0.598214,0.205357,0.410714,0.410714,0.598214,0,25,92,134,10522,41.6859,96.2238
train,infiltrat/CXR018_003.jpg,CXR018_003.jpg,0,infiltrat,0.614656,1,0.5000,"0,0,70,160",0 0.156250 0.357143 0.312500 0.714286,0.156250,0.357143,0.312500,0.714286,0,0,70,160,6981,24.3709,92.682
train,infiltrat/CXR019_001.jpg,CXR019_001.jpg,0,infiltrat,0.603894,1,0.5000,"29,20,95,103",0 0.341518 0.319196 0.424107 0.459821,0.341518,0.319196,0.424107,0.459821,29,20,95,103,7309,75.6337,66.3404
train,infiltrat/CXR019_002.jpg,CXR019_002.jpg,0,infiltrat,0.591005,1,0.5000,"0,34,100,82",0 0.223214 0.334821 0.446429 0.366071,0.223214,0.334821,0.446429,0.366071,0,34,100,82,6044,52.6386,72.4937
train,infiltrat/CXR019_003.jpg,CXR019_003.jpg,0,infiltrat,0.645068,1,0.5000,"33,0,71,102",0 0.305804 0.227679 0.316964 0.455357,0.305804,0.227679,0.316964,0.455357,33,0,71,102,4472,70.5047,61.3468
train,infiltrat/CXR020_001.jpg,CXR020_001.jpg,0,infiltrat,0.587004,1,0.5000,"23,0,103,97",0 0.332589 0.216518 0.459821 0.433036,0.332589,0.216518,0.459821,0.433036,23,0,103,97,9228,73.0953,46.364
train,infiltrat/CXR020_002.jpg,CXR020_002.jpg,0,infiltrat,0.600073,1,0.5000,"28,0,100,32",0 0.348214 0.071429 0.446429 0.142857,0.348214,0.071429,0.446429,0.142857,28,0,100,32,2817,77.9279,13.7859
train,infiltrat/CXR020_003.jpg,CXR020_003.jpg,0,infiltrat,0.552915,1,0.5000,"50,0,89,88",0 0.421875 0.196429 0.397321 0.392857,0.421875,0.196429,0.397321,0.392857,50,0,89,88,5917,89.8575,37.8567
train,infiltrat/CXR021_001.jpg,CXR021_001.jpg,0,infiltrat,0.620255,1,0.5000,"103,88,121,116",0 0.729911 0.651786 0.540179 0.517857,0.729911,0.651786,0.540179,0.517857,103,88,121,116,9885,154.3658,146.0291
train,infiltrat/CXR021_002.jpg,CXR021_002.jpg,0,infiltrat,0.606407,1,0.5000,"0,165,99,59",0 0.220982 0.868304 0.441964 0.263393,0.220982,0.868304,0.441964,0.263393,0,165,99,59,5418,48.6408,195.7689
train,infiltrat/CXR021_002.jpg,CXR021_002.jpg,0,infiltrat,0.606407,2,0.5000,"134,134,90,66",0 0.799107 0.745536 0.401786 0.294643,0.799107,0.745536,0.401786,0.294643,134,134,90,66,4031,170.8387,167.867
train,infiltrat/CXR021_002.jpg,CXR021_002.jpg,0,infiltrat,0.606407,3,0.5000,"150,0,50,37",0 0.781250 0.082589 0.223214 0.165179,0.781250,0.082589,0.223214,0.165179,150,0,50,37,1450,174.4166,14.5779
train,infiltrat/CXR021_003.jpg,CXR021_003.jpg,0,infiltrat,0.605972,1,0.5000,"93,0,104,90",0 0.647321 0.200893 0.464286 0.401786,0.647321,0.200893,0.464286,0.401786,93,0,104,90,6228,155.3253,44.934
